Restaurant Name,restaurant_key
Radhey Lal's Parampara Sweets,223
Radhey Lal Premium Sweets,224
Chahat Biryani,225
Mr. Brown - Danbro,226
Madhurima Veg,227
Gola Sizzlers,228
Street Foods By Punjab Grill,229
Chili's American Grill & Bar,230
Lord Petrick,231
Sindhi Sweets,232
Captain Sam's Pizza,233
Ovenfresh,234
Barista Coffee,235
FNP Cakes By Ferns N Petals,236
Caterspoint,237
Ghee and Turmeric,238
Saladspoint,239
Krishna Restaurant,240
Mr. Bakers,241
Pal Sweet and Dhaba,242
Hungerz,243
Street 9,244
The Oberoi Bakers,245
Saffron,246
Little Chef,247
Takeout,248
Krishna Cafe,249
Amrit Sweets Phase 5,250
Urban Pinds Food Factory,251
Anardana,252
Gopal's,253
Punjab Grill,254
Social,255
Sanjha Chulha,256
Gourmet Ice Cream Cakes by Baskin Robbins,257
BOSS Burger,258
Maa Ki Rasoi,259
SK Bakers,260
Ovenly by Khurana's,261
Why Not Momos,262
Tealogy Cafe,263
INDIAN COFFEE HOUSE,264
Burger Headquarter,265
Edesia by Freshmenu,266
Brahmins' Thatte Idli,267
Aubree,268
Udupi Grand,269
ITC Sunfeast Baked Creations,270
SMOOR,271
Chai Point,272
FreshMenu,273
Paakashala,274
Royal Indraprastha,275
Hotel Annalakshmi,276
The Idli Foundry,277
Majaa Thindi,278
SRIVARI BHIMMAS,279
Bengaluru Central Cafe,280
Kaati Zone Rolls & Wraps,281
Lo! - Low Carb and Keto Foods,282
Ovenfresh Cakes and Desserts,283
Bowl Soul,284
Shiv Sagar,285
Poetry By Love & Cheesecake,286
BK Cafe,287
Bakingo-Cakes & Desserts,288
Taaka Chinese,289
Mani's Cafe,290
Anna Snacks,291
Laxmi Pure Veg,292
Chetak Sweet Point,293
Bikaner Sweets And Namkeen,294
Kamats Legacy,295
Radha Krishna,296
Haldiram's Sweets and Namkeen,297
Bombay Sweet Shop,298
Hangout Cakes & More,299
Shiv Sagar Veg Restaurant,300
The Boston Cafe & Patisserie,301
Veg Sizzel's,302
Perambur Sri Srinivasa Sweets & Snacks,303
Hot Breads,304
French Loaf,305
PS4 Veg Restaurant (Perambur Sri Srinivasa),306
House of Idlies,307
Dou,308
Chai Kings,309
Sandy's Chocolate Laboratory,310
Ratna Cafe (Estd.1948),311
Bhavyam Veg,312
Sangeetha's Desi Mane - Annanagar,313
Sree Vishnu Bhavan,314
Priyas - Pure Veg,315
Sri Ganga veg restaurant,316
Sri Sindhu Bhavan,317
Perambur Sri Annapoorani,318
CakeZone Patisserie,319
Seoul Burgers & Shakes,320
Ranga Sai Andhra Tiffins,321
Arusuvai Cafe,322
Burgerama,323
Costa Coffee,324
Third Wave Coffee,325
Hira Sweets And Confectionary Pvt. Ltd.,326
Mr Bhatura,327
Prime Bakery & Sweets,328
Sagar Ratna,329
Faasos Signature Wraps & Rolls,330
"Greenox- Healthy Bites, Happy Lives",331
Hira Sweets,332
Bhikharam Chandmal,333
Kaleva,334
Mithaas,335
Kashyap chole kulche,336
Krispy Kreme - Doughnuts & Coffee,337
Dabba & Co.,338
Idly Dosa for You,339
Hotel Sitara Grand - Dhanturi Group of hotels,340
Millet Express,341
KS Bakers,342
Rokali,343
Varalakshmi Tiffins,344
Shree Raghavendra,345
The Airawat Kitchen,346
Hotel Shubham Celebrations Dhanturi Group of Hotel,347
Sri Varalakshmi Pure Veg Tiffins,348
Parivaar Vegetarian,349
Sri Tiffins,350
Sri Venkateshwara Tiffin Center,351
Taaza - All Day Breakfast,352
Raja Sri Tiffins,353
Go Zero Ice Creams & Desserts,354
Wendy's Flavour Fresh,355
Preeti Tiffins,356
PVR Tiffins,357
Hotel Surabhi udupi veg,358
Hotel Shubham Palace - Dhanturi Group of Hotels,359
Tiffinette,360
The Yellow Straw,361
Keventers - Milkshakes & Desserts,362
Hindusthan Sweets,363
Machhli Baba Fries,364
So Southy,365
Idleewala,366
VIP Sweets Pvt. Ltd.,367
Ganguram,368
Cocoa Bakery,369
Minus 30,370
China Belly By Wow! Momo,371
Chandimata Mistanna Bhander,372
Panna Sweets & Restaurant,373
South Indian Coffee House,374
Kachori King,375
Idlygo Plus,376
Mio Amore - The Cake Shop,377
Balaji Restaurant,378
Lalaji Dilli Wale,379
Krishna Chhole Bhature,380
Gayatri Ganthiya,381
Ram Krishna Dalbati,382
RAM KRISHNA BHOJNALAY,383
Rangoli Ice Cream,384
ONE PLUS PIZZA HUB,385
Sprouts Wale,386
Food On Way,387
Vipul Dudhiya Sweets,388
Saurashtra Chawana & Sweets,389
Sasuma,390
Das Khaman,391
Gita Samosa Centre,392
Gwalia Sweets & Dairy Products,393
Dmb(Doodh Misthan Bhandar),394
Bombay Mishthan Bhandar (Bmb) - Sanganeeri Gate,395
Sodhani Sweets,396
Roastery Coffee House,397
Brown Sugar,398
Shree Agarwal Caterers,399
Sodhani Sweets And Namkeen,400
Shri Ram Dhaba,401
Apna Cafe,402
Singh's Town Cafe,403
Chinese Fast Food,404
Puneet Misthan Bhandar,405
Tan-Sukh by Kanha,406
Harishankar Veg Restro,407
Shri Shyam Bhature Wala,408
Anandji Sweets,409
Sambharsa,410
Laduram Nanagram Mawawala,411
Vanakkam Rajnikantham,412
Vrindavan ki rasoi,413
Pablo's Kitchen,414
Siddhu Punjabi Bhojnalaya,415
Chhote Lal Restaurant,416
Ihm Wala,417
Lazeez - Rooftop Lounge,418
Neelkanth Sweets,419
Mom's Kitchen,420
Pizza Wings,421
Indrani Sweets And Restaurant,422
Health Mantra,423
NBC - Nothing Before Coffee,424
Rice Express By Shero,425
Shri Ganpati Misthan Bhandar,426
Shiv Bhandar,427
Tea Time,428
Mr Choco Bakery,429
The Complete Comfort Zone,430
