State,City,Location,location_key
Rajasthan,Jaipur,Jagatpura,236
Rajasthan,Jaipur,MALVIYA NAGAR,237
Rajasthan,Jaipur,Durgapura,238
Rajasthan,Jaipur,G.T ,239
Rajasthan,Jaipur,Sector 7,240
Rajasthan,Jaipur,Vidhyadhar Nagar,241
Rajasthan,Jaipur,Kadam Vihar,242
Rajasthan,Jaipur,Jhotwara,243
Rajasthan,Jaipur,Khatipura,244
Rajasthan,Jaipur,Dhaba 14,245
Rajasthan,Jaipur,Kanji Nagar,246
Rajasthan,Jaipur,Raja Park,247
Rajasthan,Jaipur,Laxmi Vihar,248
Rajasthan,Jaipur,Machawa,249
Rajasthan,Jaipur,Vaishali Nagar,250
Rajasthan,Jaipur,Near Nursery Circle,251
Rajasthan,Jaipur,Vidhyadhar,252
Rajasthan,Jaipur,Shashtri Nagar,253
Uttar Pradesh,Lucknow,Gomti Nagar,254
Uttar Pradesh,Lucknow,Arjunganj,255
Uttar Pradesh,Lucknow,PALASSIO MALL,256
Uttar Pradesh,Lucknow,Lulu Mall,257
Uttar Pradesh,Lucknow,GOMTI NAGAR,258
Uttar Pradesh,Lucknow,Phoenix Mall,259
Uttar Pradesh,Lucknow,VIBHUTI KHAND,260
Uttar Pradesh,Lucknow,Sushant Golf City,261
Uttar Pradesh,Lucknow,Sadar Bazaar,262
Uttar Pradesh,Lucknow,"Phoenix Palassio, Gomti Nagar",263
Uttar Pradesh,Lucknow,Jopling Road,264
Uttar Pradesh,Lucknow,Jankipuram,265
Uttar Pradesh,Lucknow,Aliganj,266
Uttar Pradesh,Lucknow,Mahanagar,267
Uttar Pradesh,Lucknow,Sapru Marg,268
Uttar Pradesh,Lucknow,Nishatganj,269
Uttar Pradesh,Lucknow,Vikas Nagar,270
Uttar Pradesh,Lucknow,Chowk,271
Uttar Pradesh,Lucknow,Aashiana,272
Uttar Pradesh,Lucknow,Vrindavan,273
Uttar Pradesh,Lucknow,Vrindavan Yojana,274
Uttar Pradesh,Lucknow,Lucknow,275
Uttar Pradesh,Lucknow,Vrindavan Colony,276
Uttar Pradesh,Lucknow,Mohanlalganj,277
Uttar Pradesh,Lucknow,Ashiyana,278
Uttar Pradesh,Lucknow,Hariharpur,279
Uttar Pradesh,Lucknow,LULU MALL,280
Uttar Pradesh,Lucknow,Vrindavan Yojna,281
Punjab,Chandigarh,Sunny Enclave,282
Punjab,Chandigarh,West Chd,283
Punjab,Chandigarh,Gold Square,284
Punjab,Chandigarh,DESU MAJRA,285
Punjab,Chandigarh,Mohali Kharar Road Mohali,286
Punjab,Chandigarh,SECTOR 24,287
Punjab,Chandigarh,Sector 40 Chd,288
Punjab,Chandigarh,Sector 38,289
Punjab,Chandigarh,Sector 16,290
Punjab,Chandigarh,Sector 15,291
Punjab,Chandigarh,Sector 37,292
Punjab,Chandigarh,Sector 24 D,293
Punjab,Chandigarh,Phase 2,294
Punjab,Chandigarh,Industrial Area,295
Punjab,Chandigarh,Sector 40,296
Punjab,Chandigarh,Sector 24,297
Punjab,Chandigarh,VR Shopping Mall,298
Punjab,Chandigarh,Sector 36,299
Punjab,Chandigarh,Sec. 55,300
Punjab,Chandigarh,Phase 7 Mohali,301
Punjab,Chandigarh,Sahibzada Ajit Singh Nagar Mohali,302
Punjab,Chandigarh,SAS Nagar,303
Punjab,Chandigarh,Abdullapur,304
Punjab,Chandigarh,Kalka,305
Punjab,Chandigarh, Kalka,306
Punjab,Chandigarh,Phase 10,307
Punjab,Chandigarh,Phase 10 Mohali,308
Punjab,Chandigarh,Phase 9 Mohali,309
Punjab,Chandigarh,Sector 66A,310
Punjab,Chandigarh,Sector 66,311
Punjab,Chandigarh,S.A.S NAGAR MOHALI,312
Punjab,Chandigarh,Mohali,313
Punjab,Chandigarh,Airport Road,314
Punjab,Chandigarh,Phase 5 Mohali,315
Punjab,Chandigarh,Sector 68,316
Punjab,Chandigarh,Sector 64,317
Punjab,Chandigarh,MOHALI,318
Punjab,Chandigarh,Phase 5,319
Punjab,Chandigarh,Sector 67,320
Punjab,Chandigarh,Tarf Kumbra,321
Punjab,Chandigarh,Sector 67 Mohali,322
